SUBASSEMBLY_ID,SUPERASSEMBLY_ID
PDB-CPX-107136,PDB-CPX-107137
PDB-CPX-107179,PDB-CPX-107180
PDB-CPX-107183,PDB-CPX-107184
PDB-CPX-107201,PDB-CPX-107202
PDB-CPX-107421,PDB-CPX-107422
PDB-CPX-107454,PDB-CPX-107452
PDB-CPX-107463,PDB-CPX-107464
PDB-CPX-107479,PDB-CPX-107480
PDB-CPX-107479,PDB-CPX-107481
PDB-CPX-107488,PDB-CPX-107489
PDB-CPX-107528,PDB-CPX-107516
PDB-CPX-107528,PDB-CPX-107517
PDB-CPX-107528,PDB-CPX-107518
PDB-CPX-107528,PDB-CPX-107519
PDB-CPX-107528,PDB-CPX-107520
PDB-CPX-107528,PDB-CPX-107521
PDB-CPX-107528,PDB-CPX-107522
PDB-CPX-107528,PDB-CPX-107523
PDB-CPX-107528,PDB-CPX-107524
PDB-CPX-107528,PDB-CPX-107525
PDB-CPX-107528,PDB-CPX-107526
PDB-CPX-107528,PDB-CPX-107527
PDB-CPX-107539,PDB-CPX-107540
PDB-CPX-107539,PDB-CPX-107541
PDB-CPX-107543,PDB-CPX-107535
PDB-CPX-107689,PDB-CPX-107690
PDB-CPX-107749,PDB-CPX-107748
PDB-CPX-107774,PDB-CPX-107773
PDB-CPX-107802,PDB-CPX-107803
PDB-CPX-107844,PDB-CPX-107845
PDB-CPX-107844,PDB-CPX-107846
PDB-CPX-107864,PDB-CPX-107865
PDB-CPX-107864,PDB-CPX-107866
PDB-CPX-107864,PDB-CPX-107867
PDB-CPX-107868,PDB-CPX-107869
PDB-CPX-107880,PDB-CPX-107881
PDB-CPX-107951,PDB-CPX-107952
PDB-CPX-107951,PDB-CPX-107953
PDB-CPX-107975,PDB-CPX-107976
PDB-CPX-107975,PDB-CPX-107977
PDB-CPX-107978,PDB-CPX-107979
PDB-CPX-108073,PDB-CPX-108071
PDB-CPX-108161,PDB-CPX-108162
PDB-CPX-108164,PDB-CPX-108160
PDB-CPX-108186,PDB-CPX-108185
PDB-CPX-108194,PDB-CPX-108195
PDB-CPX-108196,PDB-CPX-108197
PDB-CPX-108200,PDB-CPX-108201
PDB-CPX-108210,PDB-CPX-108211
PDB-CPX-108223,PDB-CPX-108221
PDB-CPX-108224,PDB-CPX-108222
PDB-CPX-108257,PDB-CPX-108258
PDB-CPX-108286,PDB-CPX-108287
PDB-CPX-108310,PDB-CPX-108309
PDB-CPX-108317,PDB-CPX-108318
PDB-CPX-108317,PDB-CPX-108319
PDB-CPX-108325,PDB-CPX-108326
PDB-CPX-108363,PDB-CPX-108364
PDB-CPX-108378,PDB-CPX-108377
PDB-CPX-108428,PDB-CPX-108427
PDB-CPX-108443,PDB-CPX-107116
PDB-CPX-108519,PDB-CPX-108520
PDB-CPX-108537,PDB-CPX-108538
PDB-CPX-108586,PDB-CPX-108587
PDB-CPX-108586,PDB-CPX-108588
PDB-CPX-108589,PDB-CPX-108590
PDB-CPX-108622,PDB-CPX-106761
PDB-CPX-108647,PDB-CPX-108645
PDB-CPX-108647,PDB-CPX-108648
PDB-CPX-108661,PDB-CPX-108662
PDB-CPX-108688,PDB-CPX-105589
PDB-CPX-108688,PDB-CPX-105590
PDB-CPX-108689,PDB-CPX-105589
PDB-CPX-108689,PDB-CPX-105590
PDB-CPX-108689,PDB-CPX-106315
PDB-CPX-108689,PDB-CPX-106316
PDB-CPX-108689,PDB-CPX-108688
PDB-CPX-108691,PDB-CPX-108690
PDB-CPX-108693,PDB-CPX-108385
PDB-CPX-108695,PDB-CPX-106519
PDB-CPX-108737,PDB-CPX-108738
PDB-CPX-108763,PDB-CPX-108760
PDB-CPX-108783,PDB-CPX-103049
PDB-CPX-108783,PDB-CPX-108782
PDB-CPX-108885,PDB-CPX-108886
PDB-CPX-108911,PDB-CPX-108907
PDB-CPX-108911,PDB-CPX-108908
PDB-CPX-108911,PDB-CPX-108909
PDB-CPX-108914,PDB-CPX-108907
PDB-CPX-108914,PDB-CPX-108908
PDB-CPX-108914,PDB-CPX-108909
PDB-CPX-108914,PDB-CPX-108911
PDB-CPX-108916,PDB-CPX-108915
PDB-CPX-108917,PDB-CPX-108915
PDB-CPX-108917,PDB-CPX-108916
PDB-CPX-108921,PDB-CPX-108907
PDB-CPX-108921,PDB-CPX-108908
PDB-CPX-108921,PDB-CPX-108909
PDB-CPX-108921,PDB-CPX-108911
PDB-CPX-108921,PDB-CPX-108914
PDB-CPX-108921,PDB-CPX-108918
PDB-CPX-108923,PDB-CPX-108915
PDB-CPX-108923,PDB-CPX-108916
PDB-CPX-108924,PDB-CPX-108915
PDB-CPX-108924,PDB-CPX-108916
PDB-CPX-108924,PDB-CPX-108917
PDB-CPX-108924,PDB-CPX-108923
PDB-CPX-108933,PDB-CPX-105485
PDB-CPX-108934,PDB-CPX-105485
PDB-CPX-108934,PDB-CPX-108933
PDB-CPX-108937,PDB-CPX-105485
PDB-CPX-108937,PDB-CPX-108907
PDB-CPX-108937,PDB-CPX-108908
PDB-CPX-108937,PDB-CPX-108909
PDB-CPX-108937,PDB-CPX-108910
PDB-CPX-108937,PDB-CPX-108911
PDB-CPX-108937,PDB-CPX-108912
PDB-CPX-108937,PDB-CPX-108913
PDB-CPX-108937,PDB-CPX-108933
PDB-CPX-108937,PDB-CPX-108935
PDB-CPX-108937,PDB-CPX-108936
PDB-CPX-108938,PDB-CPX-105485
PDB-CPX-108938,PDB-CPX-108907
PDB-CPX-108938,PDB-CPX-108908
PDB-CPX-108938,PDB-CPX-108909
PDB-CPX-108938,PDB-CPX-108910
PDB-CPX-108938,PDB-CPX-108911
PDB-CPX-108938,PDB-CPX-108912
PDB-CPX-108938,PDB-CPX-108913
PDB-CPX-108938,PDB-CPX-108933
PDB-CPX-108938,PDB-CPX-108935
PDB-CPX-108938,PDB-CPX-108936
