"ID","METHOD_CLASS"
"2emj","nmr"
"3v1c","x-ray"
"2dc0","x-ray"
"1xyl","x-ray"
"5om6","x-ray"
"2r1w","x-ray"
"4c7d","x-ray"
"6j91","x-ray"
"1qbe","x-ray"
"2x8m","x-ray"
"6n2f","x-ray"
"1zb6","x-ray"
"7kzn","em"
"6xlv","x-ray"
"7od7","em"
"6gd7","x-ray"
"5q9i","x-ray"
"1djc","x-ray"
"3axy","x-ray"
"6ym5","x-ray"
"2mkd","nmr"
"3uh7","x-ray"
"4ibn","x-ray"
"5h7f","x-ray"
"2do8","nmr"
"3oya","x-ray"
"2r73","x-ray"
"6qtw","x-ray"
"4l7b","x-ray"
"5ujv","x-ray"
"1fg5","x-ray"
"2pzt","x-ray"
"6mp6","em"
"6lf2","x-ray"
"2mcy","nmr"
"191d","x-ray"
"5o1t","nmr"
"2h89","x-ray"
"6x4h","x-ray"
"6a05","x-ray"
"2hmz","x-ray"
"3wfs","x-ray"
"4fmn","x-ray"
"6nfh","x-ray"
"5gz1","x-ray"
"2vr8","x-ray"
"5p5o","x-ray"
"1us3","x-ray"
"4i4r","x-ray"
"2e7g","nmr"
"5obf","x-ray"
"6zbj","em"
"5v06","x-ray"
"3phe","x-ray"
"4tgl","x-ray"
"6a1f","x-ray"
"6yvj","x-ray"
"5qpa","x-ray"
"2gso","x-ray"
"6hn2","x-ray"
"5wb1","x-ray"
"7pm2","em"
"7p77","em"
"5ypz","x-ray"
"5qnr","x-ray"
"7m8c","x-ray"
"2drp","x-ray"
"5nku","hybrid"
"5ihi","x-ray"
"3tjo","x-ray"
"2wo4","x-ray"
"3apm","x-ray"
"1pa1","x-ray"
"5c7d","x-ray"
"6tlr","x-ray"
"2ocz","x-ray"
"1t69","x-ray"
"1wlk","x-ray"
"2c3n","x-ray"
"2r2i","x-ray"
"1sku","x-ray"
"7c2t","em"
"7nag","x-ray"
"2bu4","x-ray"
"4pk2","x-ray"
"7ky0","x-ray"
"6sdn","x-ray"
"1abw","x-ray"
"7k63","em"
"6jly","x-ray"
"4y67","x-ray"
"3gdg","x-ray"
"7fcs","x-ray"
"6v3a","em"
"2oy9","x-ray"
"6dsw","x-ray"
"5uky","x-ray"
"6dnd","x-ray"
"2b1d","x-ray"
"4p74","x-ray"
"4e7y","x-ray"
"3ipi","x-ray"
"2bpo","x-ray"
"5gqo","x-ray"
"6dwk","x-ray"
"5kfj","x-ray"
"1g8a","x-ray"
"5lkn","nmr"
"5oea","x-ray"
"1jqx","x-ray"
"6e73","x-ray"
"1txl","x-ray"
"6h7v","x-ray"
"5tik","x-ray"
"5mo4","x-ray"
"2atr","x-ray"
"3lzk","x-ray"
"3o90","x-ray"
"3l41","x-ray"
"4l4i","x-ray"
"4pse","x-ray"
"1buo","x-ray"
"1ptt","x-ray"
"5uut","x-ray"
"5ef7","x-ray"
"3cio","x-ray"
"3b86","x-ray"
"7kxd","x-ray"
"4a1o","x-ray"
"7o0c","x-ray"
"6pvi","x-ray"
"5ir0","x-ray"
"266d","x-ray"
